post_id,postUser,timestamp,clean_caption,combined_tokens,likesCount,commentsCount,keywords_tfidf,keywords_freq,keywords_weighted
148,fashionmuniz,2023-05-10 17:40:34+00:00,t shirt here duas cores perfeitas no site,"['shirt', 'duas', 'cores', 'perfeitas', 'site']",16,0,"['duas', 'perfeitas', 'cores', 'shirt', 'site']","['shirt', 'duas', 'cores', 'perfeitas', 'site']","['shirt', 'duas', 'cores', 'perfeitas', 'site']"
149,fashionmuniz,2023-05-10 13:55:01+00:00,trio de calças novas pra você se apegar 🌸 no site,"['trio', 'de', 'calças', 'novas', 'pra', 'você', 'se', 'apegar', 'site', 'cherry blossom']",32,0,"['apegar', 'trio', 'calças', 'novas', 'blossom']","['trio', 'de', 'calças', 'novas', 'pra']","['trio', 'de', 'calças', 'novas', 'pra']"
150,matildadjerf,2023-05-29 18:47:38+00:00,🎀,['ribbon'],166233,259,['ribbon'],['ribbon'],['ribbon']
151,fashionmuniz,2023-05-23 13:11:14+00:00,trio de calças novas pra você se apegar 🌸 no site,"['trio', 'de', 'calças', 'novas', 'pra', 'você', 'se', 'apegar', 'site', 'cherry blossom']",21,0,"['apegar', 'trio', 'calças', 'novas', 'blossom']","['trio', 'de', 'calças', 'novas', 'pra']","['trio', 'de', 'calças', 'novas', 'pra']"
152,chiaraferragni,2023-06-06 13:17:24+00:00,bikini season has finally started still not over this calzedonia bikini with the coolest zebra print 😍 adv calzedonia chiarawearscalzedonia,"['bikini', 'season', 'finally', 'started', 'still', 'calzedonia', 'bikini', 'coolest', 'zebra', 'print', 'adv', 'calzedonia', 'chiarawearscalzedonia', 'smiling face with heart-eyes', 'adv', 'calzedonia', 'chiara', 'wears', 'calzedonia']",143533,893,"['bikini', 'adv', 'chiara', 'coolest', 'zebra']","['calzedonia', 'bikini', 'adv', 'season', 'finally']","['chiarawearscalzedonia', 'wears', 'bikini', 'season', 'finally']"
153,matildadjerf,2023-05-28 18:40:12+00:00,this week 🍯🌻,"['week', 'honey pot', 'sunflower']",258038,317,['week'],"['week', 'honey pot', 'sunflower']","['week', 'honey pot', 'sunflower']"
154,matildadjerf,2023-05-27 18:34:24+00:00,hi hi hi 🎀,"['hi', 'hi', 'hi', 'ribbon']",90261,176,"['hi', 'ribbon']","['hi', 'ribbon']","['hi', 'ribbon']"
155,matildadjerf,2023-05-26 18:37:41+00:00,me 🖤 this dress,"['dress', 'black heart']",233749,274,"['dress', 'black', 'heart']","['dress', 'black heart']","['dress', 'black heart']"
156,matildadjerf,2023-05-23 18:46:14+00:00,hi 👋,"['hi', 'waving hand']",173091,212,"['waving', 'hi', 'hand']","['hi', 'waving hand']","['hi', 'waving hand']"
157,davidgandy_official,2022-11-24 10:05:20+00:00,very proud to have won the style icon award at the gq moty awards for gqportugal rather easy to look stylish in my full henrypooleco thank you to jsantanagq and his gq team for a wonderful evening,"['proud', 'style', 'icon', 'award', 'gq', 'moty', 'awards', 'gqportugal', 'rather', 'easy', 'look', 'stylish', 'full', 'henrypooleco', 'thank', 'jsantanagq', 'gq', 'team', 'wonderful', 'evening']",35064,434,"['gq', 'easy', 'rather', 'stylish', 'icon']","['gq', 'proud', 'style', 'icon', 'award']","['awards', 'style', 'proud', 'icon', 'award']"
158,monikh,2023-05-30 19:17:21+00:00,bits,['bits'],2022,9,['bits'],['bits'],['bits']
159,monikh,2023-05-27 07:07:58+00:00,lazy oversized linen for 22 degrees,"['lazy', 'oversized', 'linen', '22', 'degrees']",8149,52,"['oversized', '22', 'linen']","['lazy', 'oversized', 'linen', '22', 'degrees']","['lazy', 'oversized', 'linen', '22', 'degrees']"
160,monikh,2023-05-29 07:25:30+00:00,the rumours are true merit really is as good as they say,"['rumours', 'true', 'merit', 'really', 'good', 'say']",1934,16,"['true', 'really', 'say', 'good']","['rumours', 'true', 'merit', 'really', 'good']","['rumours', 'true', 'merit', 'really', 'good']"
161,monikh,2023-05-30 14:54:21+00:00,raeyofficial top with acnestudios cargo pants sandals are therow and bag is old old palomawool links on stories and saved to may highlight 5 23,"['raeyofficial', 'top', 'acnestudios', 'cargo', 'pants', 'sandals', 'therow', 'bag', 'old', 'old', 'palomawool', 'links', 'stories', 'saved', 'may', 'highlight', '5', '23']",9215,46,"['old', 'acnestudios', 'saved', 'highlight', 'palomawool']","['old', 'raeyofficial', 'top', 'acnestudios', 'cargo']","['raeyofficial', 'top', 'acnestudios', 'cargo', 'pants']"
162,fashionmuniz,2023-05-26 14:03:50+00:00,o courinho voltando com tudo por aqui peças disponíveis na nossa pré venda 🚀,"['courinho', 'voltando', 'com', 'tudo', 'por', 'aqui', 'peças', 'disponíveis', 'na', 'nossa', 'pré', 'venda', 'rocket']",25,0,"['aqui', 'disponíveis', 'rocket', 'pré', 'venda']","['courinho', 'voltando', 'com', 'tudo', 'por']","['courinho', 'voltando', 'com', 'tudo', 'por']"
163,monikh,2023-05-25 10:38:49+00:00,me hour 💅🏼 plus a few beauty bits on rotation mirrorwater earth scrub to keep my hands exfoliated esteelauderuk spf 50 🌞 and rhode saving my lips,"['hour', 'plus', 'beauty', 'bits', 'rotation', 'mirrorwater', 'earth', 'scrub', 'keep', 'hands', 'exfoliated', 'esteelauderuk', 'spf', '50', 'rhode', 'saving', 'lips', 'nail polish', 'medium-light skin tone', 'sun with face']",8080,28,"['spf', 'bits', 'lips', 'nail', '50']","['hour', 'plus', 'beauty', 'bits', 'rotation']","['hour', 'plus', 'beauty', 'bits', 'rotation']"
164,chiaraferragni,2023-06-04 08:29:45+00:00,last night 💖,"['last', 'night', 'sparkling heart']",321404,2097,"['sparkling', 'night', 'last', 'heart']","['last', 'night', 'sparkling heart']","['last', 'night', 'sparkling heart']"
165,monikh,2023-05-23 18:56:45+00:00,a very very lovely lunch with very very lovely people 🍽,"['lovely', 'lunch', 'lovely', 'people', 'fork and knife with plate']",1519,18,"['lunch', 'and', 'people', 'with']","['lovely', 'lunch', 'people', 'fork and knife with plate']","['lovely', 'lunch', 'people', 'fork and knife with plate']"
166,davidgandy_official,2022-11-25 21:52:26+00:00,i have always championed british brands and was delighted to celebrate the opening of pinkshirtmaker new jermyn street flagship store a great evening and very happy to see the brand s return to mayfair thomaspink thomaspinkshirtmaker thomaspinkshop,"['always', 'championed', 'british', 'brands', 'delighted', 'celebrate', 'opening', 'pinkshirtmaker', 'new', 'jermyn', 'street', 'flagship', 'store', 'great', 'evening', 'happy', 'see', 'brand', 'return', 'mayfair', 'thomaspink', 'thomaspinkshirtmaker', 'thomaspinkshop', 'thomaspink', 'thomaspinkshirtmaker', 'thomaspinkshop']",38828,289,"['championed', 'flagship', 'delighted', 'british', 'return']","['thomaspink', 'thomaspinkshirtmaker', 'thomaspinkshop', 'always', 'championed']","['always', 'championed', 'british', 'brands', 'delighted']"
167,chiaraferragni,2023-06-03 14:07:39+00:00,what a special night starting chiaraferragnibrand summer tour in forte dei marmi at augustushotelresort with a special performance by our beloved paola e chiara 💖,"['special', 'night', 'starting', 'chiaraferragnibrand', 'summer', 'tour', 'forte', 'dei', 'marmi', 'augustushotelresort', 'special', 'performance', 'beloved', 'paola', 'e', 'chiara', 'sparkling heart']",525948,1076,"['special', 'augustushotelresort', 'beloved', 'chiara', 'chiaraferragnibrand']","['special', 'night', 'starting', 'chiaraferragnibrand', 'summer']","['special', 'night', 'starting', 'chiaraferragnibrand', 'summer']"
168,chiaraferragni,2023-06-02 14:45:35+00:00,june 1st in forte dei marmi with the family 🥹,"['june', '1st', 'forte', 'dei', 'marmi', 'family', 'face holding back tears']",308225,1102,"['june', 'marmi', 'dei', 'forte', 'family']","['june', '1st', 'forte', 'dei', 'marmi']","['june', '1st', 'forte', 'dei', 'marmi']"
169,monikh,2023-05-24 07:58:52+00:00,yesterday i found this semi sheer dress by palomawool via libertylondon cannot wait to wear it on holiday with a bikini underneath or big knickers and black bra still working out how to make it work for days in london possibly a skirt slip as i don t want to take away from the beauty of the transparency too much colour goes nicely with my new dragon diffusion bag and dainty rings are all lil_milan,"['yesterday', 'found', 'semi', 'sheer', 'dress', 'palomawool', 'via', 'libertylondon', 'wait', 'wear', 'holiday', 'bikini', 'underneath', 'big', 'knickers', 'black', 'bra', 'still', 'working', 'make', 'work', 'days', 'london', 'possibly', 'skirt', 'slip', 'want', 'take', 'away', 'beauty', 'transparency', 'much', 'colour', 'goes', 'nicely', 'new', 'dragon', 'diffusion', 'bag', 'dainty', 'rings', 'lil_milan']",3679,20,"['bra', 'dragon', 'goes', 'semi', 'colour']","['yesterday', 'found', 'semi', 'sheer', 'dress']","['libertylondon', 'london', 'lil_milan', 'dress', 'wear']"
170,chiaraferragni,2023-06-01 09:09:51+00:00,january 2023 shooting my sanremo looks and matching with my princess 🥹,"['january', '2023', 'shooting', 'sanremo', 'looks', 'matching', 'princess', 'face holding back tears']",591890,1773,"['january', 'matching', 'shooting', 'holding', 'looks']","['january', '2023', 'shooting', 'sanremo', 'looks']","['looks', '2023', 'january', 'shooting', 'sanremo']"
171,chiaraferragni,2023-06-03 10:25:53+00:00,first night in forte 💖 suppliedbylouisvuitton,"['first', 'night', 'forte', 'suppliedbylouisvuitton', 'sparkling heart', 'suppliedby', 'louis', 'vuitton']",549570,981,"['suppliedby', 'suppliedbylouisvuitton', 'vuitton', 'louis', 'forte']","['first', 'night', 'forte', 'suppliedbylouisvuitton', 'sparkling heart']","['suppliedbylouisvuitton', 'first', 'night', 'forte', 'sparkling heart']"
172,chiaraferragni,2023-06-02 09:52:37+00:00,today cf summer tour starts 😍 the first stop is at augustushotelresort follow chiaraferragnibrand for more details 🙏🏻,"['today', 'cf', 'summer', 'tour', 'starts', 'first', 'stop', 'augustushotelresort', 'follow', 'chiaraferragnibrand', 'details', 'smiling face with heart-eyes', 'folded hands', 'light skin tone']",536808,719,"['augustushotelresort', 'starts', 'chiaraferragnibrand', 'details', 'stop']","['today', 'cf', 'summer', 'tour', 'starts']","['today', 'cf', 'summer', 'tour', 'starts']"
173,chiaraferragni,2023-06-01 13:38:58+00:00,our portofino anniversary episode is now streaming 🥹💖😍 hope you guys will like it 😙 theferragnez,"['portofino', 'anniversary', 'episode', 'streaming', 'hope', 'guys', 'like', 'theferragnez', 'face holding back tears', 'sparkling heart', 'smiling face with heart-eyes', 'kissing face with smiling eyes', 'the', 'ferragnez']",829312,2649,"['face', 'eyes', 'smiling', 'anniversary', 'with']","['portofino', 'anniversary', 'episode', 'streaming', 'hope']","['portofino', 'anniversary', 'episode', 'streaming', 'hope']"
174,chiaraferragni,2023-05-31 13:02:02+00:00,last day of may 💖,"['last', 'day', 'may', 'sparkling heart']",527074,1135,"['sparkling', 'may', 'day', 'last', 'heart']","['last', 'day', 'may', 'sparkling heart']","['last', 'day', 'may', 'sparkling heart']"
175,chiaraferragni,2023-05-31 17:53:39+00:00,🥹,['face holding back tears'],286834,1245,"['holding', 'tears', 'back', 'face']",['face holding back tears'],['face holding back tears']
176,sincerelyjules,2023-04-22 15:05:00+00:00,my only real pregnancy cravings have been all kinds of pancakes and anything sweet like pastries ice cream dessert 🥞 🤭 my pregnant ladies what have your cravings been share ojaivalley,"['real', 'pregnancy', 'cravings', 'kinds', 'pancakes', 'anything', 'sweet', 'like', 'pastries', 'ice', 'cream', 'dessert', 'pregnant', 'ladies', 'cravings', 'share', 'ojaivalley', 'pancakes', 'face with hand over mouth', 'ojaivalley']",149507,483,"['pregnancy', 'sweet', 'mouth', 'real', 'cream']","['cravings', 'pancakes', 'ojaivalley', 'real', 'pregnancy']","['real', 'pregnancy', 'cravings', 'kinds', 'pancakes']"
177,matildadjerf,2023-05-15 18:33:33+00:00,city summer 🍸,"['city', 'summer', 'cocktail glass']",297685,330,"['cocktail', 'glass', 'city', 'summer']","['city', 'summer', 'cocktail glass']","['city', 'summer', 'cocktail glass']"
178,matildadjerf,2023-05-21 18:11:52+00:00,and to think this is just the beginning 🥹🤏,"['think', 'beginning', 'face holding back tears', 'pinching hand']",251628,301,"['beginning', 'pinching', 'think', 'hand', 'holding']","['think', 'beginning', 'face holding back tears', 'pinching hand']","['think', 'beginning', 'face holding back tears', 'pinching hand']"
179,matildadjerf,2023-05-11 18:52:22+00:00,🏡🤍🤏,"['house with garden', 'white heart', 'pinching hand']",212867,166,"['garden', 'pinching', 'house', 'hand', 'white']","['house with garden', 'white heart', 'pinching hand']","['house with garden', 'white heart', 'pinching hand']"
180,matildadjerf,2023-05-16 18:38:34+00:00,if you know you know,"['know', 'know']",176203,191,['know'],['know'],['know']
181,matildadjerf,2023-05-20 18:33:24+00:00,may 🦋🦋🦋,"['may', 'butterfly', 'butterfly', 'butterfly']",153086,200,"['butterfly', 'may']","['butterfly', 'may']","['may', 'butterfly']"
182,matildadjerf,2023-05-17 18:43:01+00:00,most special lunch djerfavenue,"['special', 'lunch', 'djerfavenue']",132721,182,"['lunch', 'special']","['special', 'lunch', 'djerfavenue']","['special', 'lunch', 'djerfavenue']"
183,matildadjerf,2023-05-12 18:19:18+00:00,last weekend 🍸,"['last', 'weekend', 'cocktail glass']",156183,167,"['cocktail', 'glass', 'weekend', 'last']","['last', 'weekend', 'cocktail glass']","['last', 'weekend', 'cocktail glass']"
184,matildadjerf,2023-05-09 18:32:22+00:00,poolside 🐬,"['poolside', 'dolphin']",180890,146,['poolside'],"['poolside', 'dolphin']","['poolside', 'dolphin']"
185,matildadjerf,2023-05-18 18:47:57+00:00,like mother like son,"['like', 'mother', 'like', 'son']",143575,167,"['like', 'son', 'mother']","['like', 'mother', 'son']","['like', 'mother', 'son']"
186,carodaur,2023-05-15 07:01:49+00:00,about last week daurdump,"['last', 'week', 'daurdump', 'daurdump']",30679,131,"['daurdump', 'week', 'last']","['daurdump', 'last', 'week']","['last', 'week', 'daurdump']"
187,carodaur,2023-05-13 10:55:42+00:00,bye bye new york swipe for my ny list,"['bye', 'bye', 'new', 'york', 'swipe', 'ny', 'list']",42221,320,"['list', 'ny', 'swipe', 'york', 'new']","['bye', 'new', 'york', 'swipe', 'ny']","['bye', 'new', 'york', 'swipe', 'ny']"
188,matildadjerf,2023-05-14 18:45:03+00:00,forgot these 🧚,"['forgot', 'fairy']",169137,209,"['forgot', 'fairy']","['forgot', 'fairy']","['forgot', 'fairy']"
189,carodaur,2023-05-18 10:45:12+00:00,secret garden lunch our tour guide was clearly the main character🥹,"['secret', 'garden', 'lunch', 'tour', 'guide', 'clearly', 'main', 'character', 'face holding back tears']",18078,94,"['character', 'guide', 'clearly', 'garden', 'secret']","['secret', 'garden', 'lunch', 'tour', 'guide']","['secret', 'garden', 'lunch', 'tour', 'guide']"
190,stephaniebroek,2023-03-06 18:32:13+00:00,back in paris for my dream show chanelofficial aaaaah a few of my favorite cc moments throughout the years dying to show you my look for tomorrow 3,"['back', 'paris', 'dream', 'show', 'chanelofficial', 'aaaaah', 'favorite', 'cc', 'moments', 'throughout', 'years', 'dying', 'show', 'look', 'tomorrow', '3']",2551,65,"['show', 'cc', 'tomorrow', 'chanelofficial', 'throughout']","['show', 'back', 'paris', 'dream', 'chanelofficial']","['show', 'chanelofficial', 'paris', 'back', 'dream']"
191,stephaniebroek,2023-02-14 16:25:23+00:00,who else loves hearing how we met stories on our first date younes took me to a hiphop party two introverts counting on the music to avoid awkward silences in retrospect we had nothing to worry about we couldn t stop talking all night on our third date we made plans to go to paris it was summer and the city was more romantic than ever we were students and couldn t afford to go out for dinner instead we drank cheap wine and ate pizzas along the seine maisonmargielafragrances ad maisonmargielafragrances smellslikememories onadate datewithreplica,"['else', 'loves', 'hearing', 'met', 'stories', 'first', 'date', 'younes', 'took', 'hiphop', 'party', 'two', 'introverts', 'counting', 'music', 'avoid', 'awkward', 'silences', 'retrospect', 'nothing', 'worry', 'stop', 'talking', 'night', 'third', 'date', 'made', 'plans', 'go', 'paris', 'summer', 'city', 'romantic', 'ever', 'students', 'afford', 'go', 'dinner', 'instead', 'drank', 'cheap', 'wine', 'ate', 'pizzas', 'along', 'seine', 'maisonmargielafragrances', 'ad', 'maisonmargielafragrances', 'smellslikememories', 'onadate', 'datewithreplica', 'maison', 'margiela', 'fragrances', 'smells', 'like', 'memories', 'ona', 'date', 'date', 'with', 'replica']",3260,96,"['date', 'go', 'ate', 'avoid', 'hearing']","['date', 'go', 'maisonmargielafragrances', 'else', 'loves']","['paris', 'else', 'loves', 'hearing', 'met']"
192,stephaniebroek,2023-02-22 19:26:09+00:00,recently a facialist complimented my skin after a treatment and said keep doing what you re doing i was shook 3 i ve been consisted for years so you probably know what i m doing the paulaschoicenl calm line just relaunched and it s full of ingredients my skin loves hyaluronic acid peptides ceramides squalane particularly suitable for sensitive skin olive wasn t supposed to be in this photo but wanted to be involved this photo pretty much sums up how i do my skincare routine in the morning with one hand ad,"['recently', 'facialist', 'complimented', 'skin', 'treatment', 'said', 'keep', 'shook', '3', 'consisted', 'years', 'probably', 'know', 'paulaschoicenl', 'calm', 'line', 'relaunched', 'full', 'ingredients', 'skin', 'loves', 'hyaluronic', 'acid', 'peptides', 'ceramides', 'squalane', 'particularly', 'suitable', 'sensitive', 'skin', 'olive', 'supposed', 'photo', 'wanted', 'involved', 'photo', 'pretty', 'much', 'sums', 'skincare', 'routine', 'morning', 'one', 'hand', 'ad']",3187,65,"['skin', 'photo', 'calm', 'consisted', 'involved']","['skin', 'photo', 'recently', 'facialist', 'complimented']","['recently', 'facialist', 'complimented', 'skin', 'treatment']"
193,stephaniebroek,2023-02-16 16:39:37+00:00,so this is 34 celebrated my birthday on the 5th in new season margiela parachute pants and neon saks potts luisaviaroma,"['34', 'celebrated', 'birthday', '5th', 'new', 'season', 'margiela', 'parachute', 'pants', 'neon', 'saks', 'potts', 'luisaviaroma']",2103,73,"['5th', 'luisaviaroma', 'margiela', 'neon', 'parachute']","['34', 'celebrated', 'birthday', '5th', 'new']","['34', 'celebrated', 'birthday', '5th', 'new']"
194,stephaniebroek,2023-03-03 20:58:46+00:00,lucky girl syndrome paris edition,"['lucky', 'girl', 'syndrome', 'paris', 'edition']",2031,55,"['lucky', 'edition', 'girl', 'paris']","['lucky', 'girl', 'syndrome', 'paris', 'edition']","['paris', 'lucky', 'girl', 'syndrome', 'edition']"
195,camilacoelho,2023-04-29 17:15:28+00:00,flourishing w loungeunderwear🌷 ad,"['flourishing', 'w', 'loungeunderwear', 'ad', 'tulip']",164197,763,"['tulip', 'ad']","['flourishing', 'w', 'loungeunderwear', 'ad', 'tulip']","['loungeunderwear', 'flourishing', 'w', 'ad', 'tulip']"
196,stephaniebroek,2023-02-19 18:57:43+00:00,the perfect black trouser with a side of slay stagnistudio ad,"['perfect', 'black', 'trouser', 'side', 'slay', 'stagnistudio', 'ad']",1628,44,"['trouser', 'slay', 'side', 'perfect', 'ad']","['perfect', 'black', 'trouser', 'side', 'slay']","['perfect', 'black', 'trouser', 'side', 'slay']"
197,stephaniebroek,2023-03-02 15:03:55+00:00,acnestudios one word review ethereal black sand and crochet trees with big fabric flowers and gemstones garlands and i wore just the right boots for jonny johansson s black forest 🐊,"['acnestudios', 'one', 'word', 'review', 'ethereal', 'black', 'sand', 'crochet', 'trees', 'big', 'fabric', 'flowers', 'gemstones', 'garlands', 'wore', 'right', 'boots', 'jonny', 'johansson', 'black', 'forest', 'crocodile']",924,36,"['black', 'acnestudios', 'ethereal', 'forest', 'johansson']","['black', 'acnestudios', 'one', 'word', 'review']","['acnestudios', 'one', 'word', 'review', 'ethereal']"
198,stephaniebroek,2023-01-18 20:03:51+00:00,,[],2687,49,[],[],[]
199,stephaniebroek,2023-01-25 19:11:37+00:00,belt skirts over pants type of week,"['belt', 'skirts', 'pants', 'type', 'week']",1466,68,"['skirts', 'type', 'pants', 'week']","['belt', 'skirts', 'pants', 'type', 'week']","['belt', 'skirts', 'pants', 'type', 'week']"
200,stephaniebroek,2023-02-05 19:32:39+00:00,in full ann demeulemeester and the row on day 1 a the attico cargo denim skirt moment on day 2 and magda butrym 🥀 top 🥀 on the last day of cphfw all via luisaviaroma,"['full', 'ann', 'demeulemeester', 'row', 'day', '1', 'attico', 'cargo', 'denim', 'skirt', 'moment', 'day', '2', 'magda', 'butrym', 'top', 'last', 'day', 'cphfw', 'via', 'luisaviaroma', 'wilted flower', 'wilted flower']",1695,70,"['day', 'flower', 'row', 'luisaviaroma', 'cargo']","['day', 'wilted flower', 'full', 'ann', 'demeulemeester']","['full', 'ann', 'demeulemeester', 'row', 'day']"
201,stephaniebroek,2023-01-09 16:15:43+00:00,bag and coffee table slay,"['bag', 'coffee', 'table', 'slay']",1429,45,"['table', 'coffee', 'slay', 'bag']","['bag', 'coffee', 'table', 'slay']","['bag', 'coffee', 'table', 'slay']"
202,stephaniebroek,2023-02-06 18:55:07+00:00,a week in copenhagen and this is what my camera roll looks like,"['week', 'copenhagen', 'camera', 'roll', 'looks', 'like']",1133,38,"['copenhagen', 'roll', 'looks', 'camera', 'week']","['week', 'copenhagen', 'camera', 'roll', 'looks']","['copenhagen', 'looks', 'week', 'camera', 'roll']"
203,camilacoelho,2023-04-22 19:30:23+00:00,miami nights🤎 ootn,"['miami', 'nights', 'ootn', 'brown heart', 'ootn']",107220,374,"['ootn', 'miami', 'brown', 'nights', 'heart']","['ootn', 'miami', 'nights', 'brown heart']","['miami', 'nights', 'ootn', 'brown heart']"
204,camilacoelho,2023-04-23 21:29:38+00:00,kai s mom💓 dropping my arm workout on last video lol se eu treino braço claro que sim haha my set is camilacoelhocollection available at revolve ootd momlife,"['kai', 'mom', 'dropping', 'arm', 'workout', 'last', 'video', 'lol', 'se', 'eu', 'treino', 'braço', 'claro', 'que', 'sim', 'haha', 'set', 'camilacoelhocollection', 'available', 'revolve', 'ootd', 'momlife', 'beating heart', 'ootd', 'momlife']",133411,527,"['ootd', 'camilacoelhocollection', 'claro', 'eu', 'haha']","['ootd', 'momlife', 'kai', 'mom', 'dropping']","['kai', 'mom', 'dropping', 'arm', 'workout']"
205,matildadjerf,2023-05-10 16:56:37+00:00,hiiiii 🍦🦋🧚,"['hiiiii', 'soft ice cream', 'butterfly', 'fairy']",185861,270,"['fairy', 'cream', 'soft', 'ice', 'butterfly']","['hiiiii', 'soft ice cream', 'butterfly', 'fairy']","['hiiiii', 'soft ice cream', 'butterfly', 'fairy']"
206,camilacoelho,2023-04-18 20:18:58+00:00,such a fun time at revolvefestival 🎶🦋 this weekend until next yearrrr revolve fam festival festivalfashion ootd,"['fun', 'time', 'revolvefestival', 'weekend', 'next', 'yearrrr', 'revolve', 'fam', 'festival', 'festivalfashion', 'ootd', 'musical notes', 'butterfly', 'revolvefestival', 'festival', 'festivalfashion', 'ootd']",162482,565,"['festivalfashion', 'revolvefestival', 'festival', 'ootd', 'fam']","['revolvefestival', 'festival', 'festivalfashion', 'ootd', 'fun']","['festivalfashion', 'revolvefestival', 'festival', 'fun', 'time']"
207,matildadjerf,2023-05-05 18:33:56+00:00,small little pockets of my day 🦋,"['small', 'little', 'pockets', 'day', 'butterfly']",147298,142,"['pockets', 'butterfly', 'small', 'little', 'day']","['small', 'little', 'pockets', 'day', 'butterfly']","['small', 'little', 'pockets', 'day', 'butterfly']"
208,matildadjerf,2023-05-06 17:58:43+00:00,🧚,['fairy'],245634,348,['fairy'],['fairy'],['fairy']
209,matildadjerf,2023-05-08 18:26:04+00:00,living,['living'],186887,170,['living'],['living'],['living']
210,matildadjerf,2023-05-02 18:43:53+00:00,highlights from the last two weeks,"['highlights', 'last', 'two', 'weeks']",155715,210,"['highlights', 'weeks', 'two', 'last']","['highlights', 'last', 'two', 'weeks']","['highlights', 'last', 'two', 'weeks']"
211,matildadjerf,2023-05-03 19:01:05+00:00,soooooooon 🥹🥲,"['soooooooon', 'face holding back tears', 'smiling face with tear']",113716,126,"['tear', 'face', 'holding', 'smiling', 'tears']","['soooooooon', 'face holding back tears', 'smiling face with tear']","['soooooooon', 'face holding back tears', 'smiling face with tear']"
212,josefinehj,2023-05-20 11:23:27+00:00,spring in copenhagen 🏼 🏼 🏼,"['spring', 'copenhagen', 'medium-light skin tone', 'medium-light skin tone', 'medium-light skin tone']",16645,76,"['medium', 'tone', 'light', 'skin', 'copenhagen']","['medium-light skin tone', 'spring', 'copenhagen']","['copenhagen', 'spring', 'medium-light skin tone']"
213,matildadjerf,2023-05-07 18:59:00+00:00,🍷🤍,"['wine glass', 'white heart']",220198,228,"['wine', 'glass', 'white', 'heart']","['wine glass', 'white heart']","['wine glass', 'white heart']"
214,matildadjerf,2023-05-01 18:42:30+00:00,a long weekend at home 🌈,"['long', 'weekend', 'home', 'rainbow']",153650,197,"['rainbow', 'weekend', 'long', 'home']","['long', 'weekend', 'home', 'rainbow']","['long', 'weekend', 'home', 'rainbow']"
215,fashionmuniz,2023-05-24 21:47:26+00:00,de volta calça de couro jandira está de volta com tudo 🚀,"['de', 'volta', 'calça', 'de', 'couro', 'jandira', 'está', 'de', 'volta', 'com', 'tudo', 'rocket']",15,0,"['volta', 'de', 'jandira', 'rocket', 'couro']","['de', 'volta', 'calça', 'couro', 'jandira']","['de', 'volta', 'calça', 'couro', 'jandira']"
216,josefinehj,2023-05-20 14:02:46+00:00,annonce,['annonce'],9945,48,['annonce'],['annonce'],['annonce']
217,matildadjerf,2023-04-30 18:47:07+00:00,,[],170642,284,[],[],[]
218,josefinehj,2023-05-17 10:04:08+00:00,elevator check,"['elevator', 'check']",5466,19,['check'],"['elevator', 'check']","['elevator', 'check']"
219,matildadjerf,2023-04-28 18:40:14+00:00,forgot about these 🦋,"['forgot', 'butterfly']",177435,223,"['forgot', 'butterfly']","['forgot', 'butterfly']","['forgot', 'butterfly']"
220,matildadjerf,2023-04-27 18:51:46+00:00,a rainy day in april,"['rainy', 'day', 'april']",102316,139,"['rainy', 'april', 'day']","['rainy', 'day', 'april']","['rainy', 'day', 'april']"
221,chiaraferragni,2023-05-30 10:44:40+00:00,colorful bag for a total prada look today 😍 feeling playful with my pradagalleria bag in the prettiest shades of green 💚 adv prada,"['colorful', 'bag', 'total', 'prada', 'look', 'today', 'feeling', 'playful', 'pradagalleria', 'bag', 'prettiest', 'shades', 'green', 'adv', 'prada', 'smiling face with heart-eyes', 'green heart', 'prada', 'galleria', 'adv', 'prada']",540617,1027,"['prada', 'adv', 'bag', 'green', 'colorful']","['prada', 'bag', 'adv', 'colorful', 'total']","['prada', 'pradagalleria', 'colorful', 'bag', 'total']"
222,matildadjerf,2023-04-26 18:23:36+00:00,office lately 🎀,"['office', 'lately', 'ribbon']",121543,182,"['lately', 'office', 'ribbon']","['office', 'lately', 'ribbon']","['office', 'lately', 'ribbon']"
223,chiaraferragni,2023-05-29 11:39:32+00:00,best of these past days 💖,"['best', 'past', 'days', 'sparkling heart']",336161,1411,"['past', 'days', 'sparkling', 'best', 'heart']","['best', 'past', 'days', 'sparkling heart']","['best', 'past', 'days', 'sparkling heart']"
224,chiaraferragni,2023-05-28 16:31:03+00:00,a good sunday 🥹,"['good', 'sunday', 'face holding back tears']",375086,1107,"['sunday', 'good', 'holding', 'tears', 'back']","['good', 'sunday', 'face holding back tears']","['good', 'sunday', 'face holding back tears']"
225,chiaraferragni,2023-05-27 15:26:39+00:00,saturday at the lake at our favorite ghtlakecomo 🙏🏻,"['saturday', 'lake', 'favorite', 'ghtlakecomo', 'folded hands', 'light skin tone']",326527,1161,"['lake', 'saturday', 'folded', 'hands', 'favorite']","['saturday', 'lake', 'favorite', 'ghtlakecomo', 'folded hands']","['saturday', 'lake', 'favorite', 'ghtlakecomo', 'folded hands']"
226,chiaraferragni,2023-05-26 19:52:24+00:00,may 26th 💙,"['may', '26th', 'blue heart']",249830,935,"['may', 'blue', 'heart']","['may', '26th', 'blue heart']","['may', '26th', 'blue heart']"
