post_id,commentUser,timestamp,polarity,sentiment,keywords_comments,keywords_posts,interaction_sequence
812,alberto.nidola,2021-01-14 22:45:40+00:00,-0.0089,neutral,['heart_with_arrow'],"['prada', 'fashion', 'ss', 'vogue', 'italia', 'mar', 'glow', 'fashion vintageprada']","[{'post_id': 812, 'timestamp': Timestamp('2021-01-14 22:45:40+0000', tz='UTC'), 'polarity': -0.0089}]"
812,guineverevanseenus,2021-01-14 23:01:24+00:00,-0.0221,neutral,"['folded_hands_light_skin_tone', 'folded_hands_light_skin_tone folded_hands_light_skin_tone']","['prada', 'fashion', 'ss', 'vogue', 'italia', 'mar', 'glow', 'fashion vintageprada']","[{'post_id': 812, 'timestamp': Timestamp('2021-01-14 23:01:24+0000', tz='UTC'), 'polarity': -0.0221}]"
818,peterspeliopoulos,2021-01-15 01:20:38+00:00,0.959,positive,"['absolute', 'greatest', 'forever', 'collection', 'one']","['prada', 'fashion', 'ss', 'vogue', 'italia', 'mar', 'glow', 'fashion vintageprada']","[{'post_id': 818, 'timestamp': Timestamp('2021-01-15 01:20:38+0000', tz='UTC'), 'polarity': 0.959}]"
812,alantrowe,2021-01-15 06:18:47+00:00,0.2216,neutral,"['heart_suit', 'heart_suit heart_suit']","['prada', 'fashion', 'ss', 'vogue', 'italia', 'mar', 'glow', 'fashion vintageprada']","[{'post_id': 822, 'timestamp': Timestamp('2021-01-04 10:38:18+0000', tz='UTC'), 'polarity': 0.2468}, {'post_id': 823, 'timestamp': Timestamp('2021-01-04 10:39:08+0000', tz='UTC'), 'polarity': 0.0711}, {'post_id': 815, 'timestamp': Timestamp('2021-01-09 18:25:13+0000', tz='UTC'), 'polarity': 0.0711}, {'post_id': 816, 'timestamp': Timestamp('2021-01-09 18:26:00+0000', tz='UTC'), 'polarity': 0.0711}, {'post_id': 812, 'timestamp': Timestamp('2021-01-15 06:18:47+0000', tz='UTC'), 'polarity': 0.2216}, {'post_id': 819, 'timestamp': Timestamp('2021-01-15 06:19:13+0000', tz='UTC'), 'polarity': 0.2216}, {'post_id': 810, 'timestamp': Timestamp('2021-02-12 05:55:14+0000', tz='UTC'), 'polarity': 0.9305}, {'post_id': 806, 'timestamp': Timestamp('2021-02-12 05:56:31+0000', tz='UTC'), 'polarity': 0.5976}, {'post_id': 757, 'timestamp': Timestamp('2021-05-07 05:24:50+0000', tz='UTC'), 'polarity': 0.2216}, {'post_id': 761, 'timestamp': Timestamp('2021-05-07 09:36:28+0000', tz='UTC'), 'polarity': 0.2267}]"
819,alantrowe,2021-01-15 06:19:13+00:00,0.2216,neutral,"['heart_suit', 'heart_suit heart_suit']","['prada', 'fashion', 'ss', 'vogue', 'italia', 'mar', 'glow', 'fashion vintageprada']","[{'post_id': 822, 'timestamp': Timestamp('2021-01-04 10:38:18+0000', tz='UTC'), 'polarity': 0.2468}, {'post_id': 823, 'timestamp': Timestamp('2021-01-04 10:39:08+0000', tz='UTC'), 'polarity': 0.0711}, {'post_id': 815, 'timestamp': Timestamp('2021-01-09 18:25:13+0000', tz='UTC'), 'polarity': 0.0711}, {'post_id': 816, 'timestamp': Timestamp('2021-01-09 18:26:00+0000', tz='UTC'), 'polarity': 0.0711}, {'post_id': 812, 'timestamp': Timestamp('2021-01-15 06:18:47+0000', tz='UTC'), 'polarity': 0.2216}, {'post_id': 819, 'timestamp': Timestamp('2021-01-15 06:19:13+0000', tz='UTC'), 'polarity': 0.2216}, {'post_id': 810, 'timestamp': Timestamp('2021-02-12 05:55:14+0000', tz='UTC'), 'polarity': 0.9305}, {'post_id': 806, 'timestamp': Timestamp('2021-02-12 05:56:31+0000', tz='UTC'), 'polarity': 0.5976}, {'post_id': 757, 'timestamp': Timestamp('2021-05-07 05:24:50+0000', tz='UTC'), 'polarity': 0.2216}, {'post_id': 761, 'timestamp': Timestamp('2021-05-07 09:36:28+0000', tz='UTC'), 'polarity': 0.2267}]"
806,joshualanceglass,2021-02-11 23:59:12+00:00,0.1033,neutral,['red_heart'],"['show', 'runway', 'prada', 'style', 'ss', 'oldprada', 'miuccialover', 'mens']","[{'post_id': 806, 'timestamp': Timestamp('2021-02-11 23:59:12+0000', tz='UTC'), 'polarity': 0.1033}]"
810,1nstaglancer,2021-02-12 01:29:24+00:00,0.0166,neutral,"['face_with_rolling_eyes', 'ok_hand_light_skin_tone', 'k', 'r']","['prada', 'ss', 'oldprada', 'miuccialover', 'mens']","[{'post_id': 810, 'timestamp': Timestamp('2021-02-12 01:29:24+0000', tz='UTC'), 'polarity': 0.0166}]"
806,leoblancasravelo,2021-02-12 04:59:35+00:00,0.148,neutral,['yellow_heart'],"['show', 'runway', 'prada', 'style', 'ss', 'oldprada', 'miuccialover', 'mens']","[{'post_id': 806, 'timestamp': Timestamp('2021-02-12 04:59:35+0000', tz='UTC'), 'polarity': 0.148}]"
810,ytwohay,2021-02-12 05:24:58+00:00,0.2894,neutral,['harry'],"['prada', 'ss', 'oldprada', 'miuccialover', 'mens']","[{'post_id': 810, 'timestamp': Timestamp('2021-02-12 05:24:58+0000', tz='UTC'), 'polarity': 0.2894}]"
810,andreax_13,2021-02-12 05:35:21+00:00,0.1217,neutral,"['clement', 'blue_heart']","['prada', 'ss', 'oldprada', 'miuccialover', 'mens']","[{'post_id': 810, 'timestamp': Timestamp('2021-02-12 05:35:21+0000', tz='UTC'), 'polarity': 0.1217}]"
