commentUser,comment_count,polarity,keywords_comments,interaction_sequence,posts_sequence
ayoo._.jordan,2,0.0,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 434, 'timestamp': '2023-06-06 18:12:10+00:00', 'polarity': 0.0}, {'post_id': 436, 'timestamp': '2023-06-06 18:12:40+00:00', 'polarity': 0.0}]","[434, 436]"
ayshe.gun,1,0.38,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 553, 'timestamp': '2023-03-05 16:24:05+00:00', 'polarity': 0.38}]",[553]
ayuddefrianti,1,0.08,"['red_heart', 'amazing', 'beautiful', 'clapping_hands', 'de']","[{'post_id': 67, 'timestamp': '2023-04-01 19:20:40+00:00', 'polarity': 0.08}]",[67]
ayyo.adam,1,0.0,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 646, 'timestamp': '2023-05-05 05:31:33+00:00', 'polarity': 0.0}]",[646]
azarakhsh_akbari,2,0.08,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] []","[{'post_id': 338, 'timestamp': '2022-10-30 06:55:58+00:00', 'polarity': nan}, {'post_id': 14, 'timestamp': '2023-05-25 20:49:10+00:00', 'polarity': 0.08}]","[338, 14]"
azizasega,1,0.24,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 628, 'timestamp': '2023-02-18 17:51:22+00:00', 'polarity': 0.24}]",[628]
b.ela.d,1,0.0,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 142, 'timestamp': '2023-06-06 16:10:57+00:00', 'polarity': 0.0}]",[142]
b.nunes95,1,0.08,"['red_heart', 'amazing', 'beautiful', 'clapping_hands', 'de']","[{'post_id': 660, 'timestamp': '2023-05-28 13:24:36+00:00', 'polarity': 0.08}]",[660]
b.suyane,2,0.08,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['red_heart', 'amazing', 'beautiful', 'clapping_hands', 'de']","[{'post_id': 290, 'timestamp': '2023-04-25 16:29:19+00:00', 'polarity': 0.08}, {'post_id': 229, 'timestamp': '2023-05-23 01:09:08+00:00', 'polarity': 0.08}]","[290, 229]"
babbu_hybird,4,0.4325,"['wow', 'fire', 'amazing', 'beautiful', 'clapping_hands'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['beautiful', 'amazing', 'clapping_hands', 'de', 'fire']","[{'post_id': 366, 'timestamp': '2023-04-16 05:47:40+00:00', 'polarity': 0.85}, {'post_id': 288, 'timestamp': '2023-04-16 05:49:32+00:00', 'polarity': 0.22}, {'post_id': 288, 'timestamp': '2023-04-16 05:50:16+00:00', 'polarity': 0.16}, {'post_id': 326, 'timestamp': '2023-04-16 05:50:58+00:00', 'polarity': 0.5}]","[366, 288, 288, 326]"
