commentUser,interaction_sequence,posts_sequence,sequence_length
annalindgren523,"[{'post_id': 329, 'timestamp': '2023-03-25 14:47:27+00:00', 'polarity': 0.2792}, {'post_id': 327, 'timestamp': '2023-03-25 14:48:59+00:00', 'polarity': -0.14}, {'post_id': 327, 'timestamp': '2023-03-25 14:50:37+00:00', 'polarity': -0.0893}]","[329, 327, 327]",3
anoukyve,"[{'post_id': 340, 'timestamp': '2022-10-19 11:59:15+00:00', 'polarity': 0.0098}, {'post_id': 292, 'timestamp': '2022-12-07 09:47:57+00:00', 'polarity': 0.0519}, {'post_id': 305, 'timestamp': '2022-12-07 09:48:13+00:00', 'polarity': 0.0432}, {'post_id': 92, 'timestamp': '2023-04-14 05:57:16+00:00', 'polarity': 0.0432}]","[340, 292, 305, 92]",4
artipoppe,"[{'post_id': 337, 'timestamp': '2022-10-04 14:48:49+00:00', 'polarity': 0.2076}, {'post_id': 334, 'timestamp': '2022-10-28 11:57:40+00:00', 'polarity': 0.3299}, {'post_id': 304, 'timestamp': '2022-11-25 15:23:34+00:00', 'polarity': 0.9462}, {'post_id': 292, 'timestamp': '2022-12-08 11:02:05+00:00', 'polarity': 0.0519}, {'post_id': 279, 'timestamp': '2023-01-03 08:12:20+00:00', 'polarity': 0.6148}, {'post_id': 201, 'timestamp': '2023-01-11 14:51:20+00:00', 'polarity': 0.7665}, {'post_id': 198, 'timestamp': '2023-02-03 11:37:17+00:00', 'polarity': 0.565}, {'post_id': 192, 'timestamp': '2023-02-28 13:04:57+00:00', 'polarity': 0.1033}, {'post_id': 194, 'timestamp': '2023-03-05 10:11:43+00:00', 'polarity': 0.565}, {'post_id': 69, 'timestamp': '2023-03-09 15:42:08+00:00', 'polarity': 0.2577}, {'post_id': 68, 'timestamp': '2023-03-27 10:59:16+00:00', 'polarity': 0.0519}, {'post_id': 105, 'timestamp': '2023-04-03 07:36:59+00:00', 'polarity': 0.6586}, {'post_id': 65, 'timestamp': '2023-04-12 11:49:05+00:00', 'polarity': 0.4481}, {'post_id': 63, 'timestamp': '2023-05-01 15:12:23+00:00', 'polarity': 0.0833}, {'post_id': 17, 'timestamp': '2023-05-16 08:58:28+00:00', 'polarity': 0.8394}, {'post_id': 18, 'timestamp': '2023-05-16 09:00:51+00:00', 'polarity': 0.9708}, {'post_id': 40, 'timestamp': '2023-05-24 10:30:44+00:00', 'polarity': 0.004}]","[337, 334, 304, 292, 279, 201, 198, 192, 194, 69, 68, 105, 65, 63, 17, 18, 40]",17
babbu_hybird,"[{'post_id': 366, 'timestamp': '2023-04-16 05:47:40+00:00', 'polarity': 0.9556}, {'post_id': 288, 'timestamp': '2023-04-16 05:49:32+00:00', 'polarity': 0.6458}, {'post_id': 288, 'timestamp': '2023-04-16 05:50:16+00:00', 'polarity': 0.7935}, {'post_id': 326, 'timestamp': '2023-04-16 05:50:58+00:00', 'polarity': 0.7872}]","[366, 288, 288, 326]",4
bahar.deana,"[{'post_id': 244, 'timestamp': '2023-05-11 13:06:19+00:00', 'polarity': 0.9708}, {'post_id': 246, 'timestamp': '2023-05-11 13:07:00+00:00', 'polarity': 0.7661}, {'post_id': 156, 'timestamp': '2023-05-30 09:02:05+00:00', 'polarity': 0.9164}, {'post_id': 146, 'timestamp': '2023-06-04 13:44:53+00:00', 'polarity': 0.5336}]","[244, 246, 156, 146]",4
baliblackbook.official,"[{'post_id': 211, 'timestamp': '2023-05-10 05:31:23+00:00', 'polarity': 0.9651}, {'post_id': 207, 'timestamp': '2023-05-10 05:31:32+00:00', 'polarity': 0.876}, {'post_id': 183, 'timestamp': '2023-05-22 06:29:39+00:00', 'polarity': 0.962}, {'post_id': 188, 'timestamp': '2023-05-22 06:29:45+00:00', 'polarity': 0.9567}, {'post_id': 180, 'timestamp': '2023-05-22 06:30:05+00:00', 'polarity': 0.9874}, {'post_id': 182, 'timestamp': '2023-05-22 06:30:16+00:00', 'polarity': 0.9438}, {'post_id': 185, 'timestamp': '2023-05-22 06:30:29+00:00', 'polarity': 0.962}, {'post_id': 155, 'timestamp': '2023-05-30 03:52:37+00:00', 'polarity': 0.9725}, {'post_id': 154, 'timestamp': '2023-05-30 03:52:47+00:00', 'polarity': 0.9009}]","[211, 207, 183, 188, 180, 182, 185, 155, 154]",9
barbaraasoaresss,"[{'post_id': 776, 'timestamp': '2023-05-06 00:33:58+00:00', 'polarity': 0.0458}, {'post_id': 780, 'timestamp': '2023-05-08 04:38:48+00:00', 'polarity': -0.023}, {'post_id': 790, 'timestamp': '2023-05-11 17:41:46+00:00', 'polarity': -0.023}]","[776, 780, 790]",3
beatrice.gutu,"[{'post_id': 336, 'timestamp': '2022-10-11 09:56:10+00:00', 'polarity': 0.0594}, {'post_id': 304, 'timestamp': '2022-11-24 11:00:44+00:00', 'polarity': 0.0494}, {'post_id': 297, 'timestamp': '2022-12-11 16:28:51+00:00', 'polarity': 0.7867}, {'post_id': 62, 'timestamp': '2023-04-27 15:00:07+00:00', 'polarity': 0.728}]","[336, 304, 297, 62]",4
bellahugo.co,"[{'post_id': 294, 'timestamp': '2023-04-18 14:46:57+00:00', 'polarity': 0.238}, {'post_id': 294, 'timestamp': '2023-04-18 14:50:25+00:00', 'polarity': 0.1916}, {'post_id': 294, 'timestamp': '2023-04-18 14:51:35+00:00', 'polarity': 0.5422}, {'post_id': 283, 'timestamp': '2023-04-18 15:14:34+00:00', 'polarity': 0.9373}]","[294, 294, 294, 283]",4
bkpr2024,"[{'post_id': 710, 'timestamp': '2023-01-08 18:21:15+00:00', 'polarity': -0.0524}, {'post_id': 626, 'timestamp': '2023-02-09 17:42:05+00:00', 'polarity': 0.9746}, {'post_id': 537, 'timestamp': '2023-04-26 15:33:59+00:00', 'polarity': 0.8229}, {'post_id': 444, 'timestamp': '2023-05-21 16:58:59+00:00', 'polarity': -0.0524}, {'post_id': 443, 'timestamp': '2023-05-26 18:15:51+00:00', 'polarity': -0.0386}]","[710, 626, 537, 444, 443]",5
