commentUser,interaction_sequence,posts_sequence,sequence_length
emilyjademccarthy,"[{'post_id': 353, 'timestamp': '2022-11-22 22:13:36+00:00', 'polarity': 0.9669}, {'post_id': 314, 'timestamp': '2023-01-17 20:16:47+00:00', 'polarity': 0.6971}, {'post_id': 95, 'timestamp': '2023-03-08 22:50:44+00:00', 'polarity': 0.9737}, {'post_id': 87, 'timestamp': '2023-04-18 13:12:47+00:00', 'polarity': 0.3127}]","[353, 314, 95, 87]",4
emma._.curras_,"[{'post_id': 578, 'timestamp': '2023-05-31 05:11:03+00:00', 'polarity': 0.3797}, {'post_id': 580, 'timestamp': '2023-05-31 05:11:24+00:00', 'polarity': -0.5283}, {'post_id': 584, 'timestamp': '2023-05-31 05:12:17+00:00', 'polarity': 0.0928}]","[578, 580, 584]",3
emmavloeimans,"[{'post_id': 304, 'timestamp': '2022-11-24 20:45:29+00:00', 'polarity': 0.1033}, {'post_id': 279, 'timestamp': '2023-01-01 10:50:35+00:00', 'polarity': 0.8852}, {'post_id': 69, 'timestamp': '2023-03-11 07:55:02+00:00', 'polarity': 0.728}, {'post_id': 10, 'timestamp': '2023-06-02 10:04:33+00:00', 'polarity': 0.728}]","[304, 279, 69, 10]",4
end2end,"[{'post_id': 656, 'timestamp': '2023-03-18 15:05:02+00:00', 'polarity': 0.5343}, {'post_id': 716, 'timestamp': '2023-03-31 14:47:57+00:00', 'polarity': 0.645}, {'post_id': 550, 'timestamp': '2023-04-22 00:10:16+00:00', 'polarity': -0.0486}]","[656, 716, 550]",3
ericatversace,"[{'post_id': 427, 'timestamp': '2023-06-06 16:25:28+00:00', 'polarity': 0.9722}, {'post_id': 428, 'timestamp': '2023-06-06 16:26:04+00:00', 'polarity': 0.3823}, {'post_id': 435, 'timestamp': '2023-06-06 16:27:30+00:00', 'polarity': 0.9459}, {'post_id': 429, 'timestamp': '2023-06-06 16:28:18+00:00', 'polarity': 0.779}, {'post_id': 431, 'timestamp': '2023-06-06 16:28:55+00:00', 'polarity': 0.04}, {'post_id': 540, 'timestamp': '2023-06-06 16:29:19+00:00', 'polarity': 0.9432}, {'post_id': 512, 'timestamp': '2023-06-06 16:31:47+00:00', 'polarity': 0.9886}, {'post_id': 514, 'timestamp': '2023-06-06 16:32:19+00:00', 'polarity': 0.9798}]","[427, 428, 435, 429, 431, 540, 512, 514]",8
erika_boldrin,"[{'post_id': 307, 'timestamp': '2022-11-15 18:02:11+00:00', 'polarity': 0.2816}, {'post_id': 289, 'timestamp': '2022-12-08 18:05:41+00:00', 'polarity': 0.728}, {'post_id': 69, 'timestamp': '2023-03-09 20:39:11+00:00', 'polarity': 0.8006}, {'post_id': 66, 'timestamp': '2023-03-23 21:55:51+00:00', 'polarity': -0.0167}, {'post_id': 68, 'timestamp': '2023-03-27 16:05:32+00:00', 'polarity': 0.6191}, {'post_id': 62, 'timestamp': '2023-04-22 16:52:23+00:00', 'polarity': 0.728}, {'post_id': 14, 'timestamp': '2023-05-30 19:24:05+00:00', 'polarity': 0.696}, {'post_id': 8, 'timestamp': '2023-06-03 12:31:13+00:00', 'polarity': -0.0167}]","[307, 289, 69, 66, 68, 62, 14, 8]",8
erinoffduty,"[{'post_id': 336, 'timestamp': '2022-10-31 08:24:07+00:00', 'polarity': 0.7867}, {'post_id': 305, 'timestamp': '2022-12-01 09:49:23+00:00', 'polarity': 0.728}, {'post_id': 196, 'timestamp': '2023-02-22 15:45:52+00:00', 'polarity': 0.1146}, {'post_id': 129, 'timestamp': '2023-06-04 20:36:12+00:00', 'polarity': -0.0321}]","[336, 305, 196, 129]",4
etoile_luxury_vintage,"[{'post_id': 334, 'timestamp': '2022-10-29 08:59:37+00:00', 'polarity': 0.9652}, {'post_id': 312, 'timestamp': '2022-11-01 10:08:43+00:00', 'polarity': 0.791}, {'post_id': 307, 'timestamp': '2022-11-19 11:32:16+00:00', 'polarity': 0.793}, {'post_id': 292, 'timestamp': '2022-12-07 13:47:44+00:00', 'polarity': 0.9471}, {'post_id': 191, 'timestamp': '2023-02-15 10:23:22+00:00', 'polarity': 0.0707}, {'post_id': 65, 'timestamp': '2023-04-07 08:29:15+00:00', 'polarity': 0.8272}, {'post_id': 219, 'timestamp': '2023-05-01 16:01:55+00:00', 'polarity': 0.7757}, {'post_id': 17, 'timestamp': '2023-05-12 09:22:19+00:00', 'polarity': 0.9565}, {'post_id': 147, 'timestamp': '2023-06-03 08:37:33+00:00', 'polarity': 0.8296}, {'post_id': 57, 'timestamp': '2023-06-03 10:26:05+00:00', 'polarity': 0.8797}]","[334, 312, 307, 292, 191, 65, 219, 17, 147, 57]",10
eva_yague,"[{'post_id': 389, 'timestamp': '2023-05-31 21:50:33+00:00', 'polarity': 0.2749}, {'post_id': 383, 'timestamp': '2023-05-31 21:51:27+00:00', 'polarity': 0.8402}, {'post_id': 388, 'timestamp': '2023-05-31 21:52:57+00:00', 'polarity': -0.0107}, {'post_id': 387, 'timestamp': '2023-05-31 21:53:24+00:00', 'polarity': -0.0459}, {'post_id': 383, 'timestamp': '2023-05-31 21:56:45+00:00', 'polarity': -0.0107}, {'post_id': 384, 'timestamp': '2023-05-31 21:56:57+00:00', 'polarity': -0.0285}, {'post_id': 390, 'timestamp': '2023-05-31 21:58:08+00:00', 'polarity': 0.7074}, {'post_id': 376, 'timestamp': '2023-05-31 22:01:46+00:00', 'polarity': -0.0321}, {'post_id': 251, 'timestamp': '2023-05-31 22:03:48+00:00', 'polarity': 0.7074}, {'post_id': 245, 'timestamp': '2023-05-31 22:04:26+00:00', 'polarity': -0.0095}, {'post_id': 47, 'timestamp': '2023-06-05 21:24:55+00:00', 'polarity': -0.0321}]","[389, 383, 388, 387, 383, 384, 390, 376, 251, 245, 47]",11
everyday.holly,"[{'post_id': 343, 'timestamp': '2023-05-04 01:31:37+00:00', 'polarity': 0.1665}, {'post_id': 133, 'timestamp': '2023-05-19 21:09:11+00:00', 'polarity': 0.0102}, {'post_id': 266, 'timestamp': '2023-06-02 23:17:25+00:00', 'polarity': 0.0102}, {'post_id': 55, 'timestamp': '2023-06-05 17:44:03+00:00', 'polarity': 0.0102}, {'post_id': 132, 'timestamp': '2023-06-06 02:24:52+00:00', 'polarity': 0.0032}, {'post_id': 347, 'timestamp': '2023-06-06 15:37:33+00:00', 'polarity': 0.0276}, {'post_id': 93, 'timestamp': '2023-06-06 18:21:41+00:00', 'polarity': 0.0102}, {'post_id': 54, 'timestamp': '2023-06-06 19:07:29+00:00', 'polarity': 0.0032}]","[343, 133, 266, 55, 132, 347, 93, 54]",8
faaar07,"[{'post_id': 190, 'timestamp': '2023-03-08 16:50:13+00:00', 'polarity': 0.0494}, {'post_id': 64, 'timestamp': '2023-04-10 19:25:26+00:00', 'polarity': 0.0519}, {'post_id': 17, 'timestamp': '2023-05-10 21:31:52+00:00', 'polarity': 0.0494}]","[190, 64, 17]",3
fabio__montedoro,"[{'post_id': 105, 'timestamp': '2023-03-29 19:34:31+00:00', 'polarity': 0.8513}, {'post_id': 66, 'timestamp': '2023-03-29 19:34:41+00:00', 'polarity': 0.9499}, {'post_id': 4, 'timestamp': '2023-03-29 19:34:51+00:00', 'polarity': 0.4902}, {'post_id': 135, 'timestamp': '2023-05-23 17:26:22+00:00', 'polarity': 0.4633}, {'post_id': 10, 'timestamp': '2023-06-02 10:07:40+00:00', 'polarity': 0.9073}]","[105, 66, 4, 135, 10]",5
fablefrique,"[{'post_id': 344, 'timestamp': '2022-11-02 22:57:22+00:00', 'polarity': 0.819}, {'post_id': 307, 'timestamp': '2022-11-16 19:28:24+00:00', 'polarity': 0.919}, {'post_id': 192, 'timestamp': '2023-03-12 22:11:38+00:00', 'polarity': 0.2749}]","[344, 307, 192]",3
facehunter,"[{'post_id': 760, 'timestamp': '2022-10-11 19:55:34+00:00', 'polarity': 0.8966}, {'post_id': 756, 'timestamp': '2022-10-18 07:03:47+00:00', 'polarity': 0.0142}, {'post_id': 711, 'timestamp': '2022-10-27 20:21:36+00:00', 'polarity': 0.918}, {'post_id': 728, 'timestamp': '2022-11-15 20:10:14+00:00', 'polarity': -0.0183}, {'post_id': 728, 'timestamp': '2022-11-16 07:18:26+00:00', 'polarity': 0.0416}, {'post_id': 715, 'timestamp': '2022-11-27 16:05:46+00:00', 'polarity': -0.2065}, {'post_id': 704, 'timestamp': '2022-11-28 15:36:49+00:00', 'polarity': 0.1876}, {'post_id': 704, 'timestamp': '2022-11-28 18:44:51+00:00', 'polarity': 0.5442}, {'post_id': 708, 'timestamp': '2022-12-04 09:52:01+00:00', 'polarity': 0.9463}, {'post_id': 696, 'timestamp': '2022-12-06 14:54:51+00:00', 'polarity': 0.022}, {'post_id': 696, 'timestamp': '2022-12-08 06:00:12+00:00', 'polarity': -0.0963}, {'post_id': 693, 'timestamp': '2022-12-13 19:23:50+00:00', 'polarity': 0.9221}, {'post_id': 717, 'timestamp': '2022-12-17 18:26:25+00:00', 'polarity': -0.0354}, {'post_id': 706, 'timestamp': '2023-01-08 16:01:38+00:00', 'polarity': 0.8168}, {'post_id': 710, 'timestamp': '2023-01-10 22:04:04+00:00', 'polarity': -0.0699}, {'post_id': 627, 'timestamp': '2023-01-14 21:10:38+00:00', 'polarity': 0.5404}, {'post_id': 624, 'timestamp': '2023-01-24 11:42:35+00:00', 'polarity': 0.0177}, {'post_id': 633, 'timestamp': '2023-02-07 09:45:07+00:00', 'polarity': 0.443}, {'post_id': 804, 'timestamp': '2023-02-11 22:55:56+00:00', 'polarity': 0.9149}, {'post_id': 631, 'timestamp': '2023-02-11 22:57:05+00:00', 'polarity': 0.037}, {'post_id': 626, 'timestamp': '2023-02-12 12:19:48+00:00', 'polarity': -0.0716}, {'post_id': 542, 'timestamp': '2023-03-01 11:53:32+00:00', 'polarity': 0.3305}, {'post_id': 548, 'timestamp': '2023-03-01 11:53:48+00:00', 'polarity': -0.0457}, {'post_id': 553, 'timestamp': '2023-03-05 16:25:16+00:00', 'polarity': -0.1047}, {'post_id': 545, 'timestamp': '2023-03-06 07:03:53+00:00', 'polarity': 0.1751}, {'post_id': 623, 'timestamp': '2023-03-14 07:57:40+00:00', 'polarity': 0.8653}, {'post_id': 546, 'timestamp': '2023-04-15 18:08:57+00:00', 'polarity': 0.6149}, {'post_id': 628, 'timestamp': '2023-04-17 09:26:28+00:00', 'polarity': 0.9897}, {'post_id': 731, 'timestamp': '2023-04-19 12:26:14+00:00', 'polarity': 0.8779}, {'post_id': 541, 'timestamp': '2023-04-21 17:11:24+00:00', 'polarity': -0.171}, {'post_id': 555, 'timestamp': '2023-04-24 14:52:05+00:00', 'polarity': 0.3387}, {'post_id': 551, 'timestamp': '2023-04-26 10:09:59+00:00', 'polarity': 0.0274}, {'post_id': 618, 'timestamp': '2023-04-27 19:34:50+00:00', 'polarity': -0.0076}, {'post_id': 449, 'timestamp': '2023-05-06 08:26:20+00:00', 'polarity': 0.0314}, {'post_id': 449, 'timestamp': '2023-05-06 13:38:31+00:00', 'polarity': -0.7464}, {'post_id': 573, 'timestamp': '2023-05-06 15:14:37+00:00', 'polarity': 0.0182}, {'post_id': 537, 'timestamp': '2023-05-08 06:23:19+00:00', 'polarity': -0.12}, {'post_id': 690, 'timestamp': '2023-05-09 15:04:47+00:00', 'polarity': -0.0219}, {'post_id': 448, 'timestamp': '2023-05-14 20:18:12+00:00', 'polarity': 0.0399}, {'post_id': 444, 'timestamp': '2023-05-23 17:22:57+00:00', 'polarity': 0.3447}, {'post_id': 629, 'timestamp': '2023-05-24 13:10:42+00:00', 'polarity': 0.074}, {'post_id': 443, 'timestamp': '2023-05-27 01:37:11+00:00', 'polarity': 0.259}, {'post_id': 447, 'timestamp': '2023-06-01 01:10:32+00:00', 'polarity': 0.557}, {'post_id': 447, 'timestamp': '2023-06-01 01:10:45+00:00', 'polarity': -0.0615}, {'post_id': 446, 'timestamp': '2023-06-01 09:08:23+00:00', 'polarity': -0.0049}, {'post_id': 446, 'timestamp': '2023-06-01 09:08:57+00:00', 'polarity': 0.9593}, {'post_id': 478, 'timestamp': '2023-06-07 21:09:56+00:00', 'polarity': -0.0314}, {'post_id': 527, 'timestamp': '2023-06-09 19:14:04+00:00', 'polarity': 0.1571}]","[760, 756, 711, 728, 728, 715, 704, 704, 708, 696, 696, 693, 717, 706, 710, 627, 624, 633, 804, 631, 626, 542, 548, 553, 545, 623, 546, 628, 731, 541, 555, 551, 618, 449, 449, 573, 537, 690, 448, 444, 629, 443, 447, 447, 446, 446, 478, 527]",48
fannina74,"[{'post_id': 253, 'timestamp': '2023-05-30 16:36:03+00:00', 'polarity': -0.169}, {'post_id': 373, 'timestamp': '2023-05-30 16:36:26+00:00', 'polarity': -0.9558}, {'post_id': 374, 'timestamp': '2023-05-30 16:42:06+00:00', 'polarity': -0.9608}, {'post_id': 382, 'timestamp': '2023-05-30 16:44:21+00:00', 'polarity': -0.045}, {'post_id': 386, 'timestamp': '2023-05-30 16:46:43+00:00', 'polarity': -0.9612}]","[253, 373, 374, 382, 386]",5
fashion__majazine_,"[{'post_id': 678, 'timestamp': '2023-04-20 19:24:08+00:00', 'polarity': 0.1956}, {'post_id': 678, 'timestamp': '2023-04-20 19:24:10+00:00', 'polarity': 0.9881}, {'post_id': 678, 'timestamp': '2023-04-20 19:24:11+00:00', 'polarity': -0.0539}]","[678, 678, 678]",3
fela_montparnasse_felappi,"[{'post_id': 124, 'timestamp': '2023-05-11 18:00:27+00:00', 'polarity': 0.7414}, {'post_id': 122, 'timestamp': '2023-05-17 08:20:47+00:00', 'polarity': 0.018}, {'post_id': 111, 'timestamp': '2023-05-19 11:14:41+00:00', 'polarity': -0.2165}, {'post_id': 7, 'timestamp': '2023-05-22 22:45:21+00:00', 'polarity': 0.5739}]","[124, 122, 111, 7]",4
ferre_nimni,"[{'post_id': 232, 'timestamp': '2023-05-18 01:36:49+00:00', 'polarity': 0.147}, {'post_id': 232, 'timestamp': '2023-05-18 16:32:08+00:00', 'polarity': 0.3588}, {'post_id': 232, 'timestamp': '2023-05-18 16:32:26+00:00', 'polarity': -0.0124}]","[232, 232, 232]",3
flavia.ippoliti,"[{'post_id': 193, 'timestamp': '2023-02-18 13:29:28+00:00', 'polarity': 0.0892}, {'post_id': 190, 'timestamp': '2023-03-09 09:43:04+00:00', 'polarity': 0.0667}, {'post_id': 68, 'timestamp': '2023-03-27 16:05:46+00:00', 'polarity': 0.0519}, {'post_id': 62, 'timestamp': '2023-04-22 05:47:59+00:00', 'polarity': 0.0494}, {'post_id': 213, 'timestamp': '2023-05-10 18:53:09+00:00', 'polarity': 0.9738}, {'post_id': 10, 'timestamp': '2023-06-02 11:54:19+00:00', 'polarity': 0.0494}, {'post_id': 104, 'timestamp': '2023-06-02 11:57:35+00:00', 'polarity': 0.0494}, {'post_id': 8, 'timestamp': '2023-06-03 07:01:01+00:00', 'polarity': 0.0892}]","[193, 190, 68, 62, 213, 10, 104, 8]",8
fo.v55,"[{'post_id': 398, 'timestamp': '2023-06-08 09:41:32+00:00', 'polarity': 0.2744}, {'post_id': 398, 'timestamp': '2023-06-08 09:41:39+00:00', 'polarity': 0.2792}, {'post_id': 398, 'timestamp': '2023-06-08 09:41:39+00:00', 'polarity': 0.2749}, {'post_id': 398, 'timestamp': '2023-06-08 09:41:41+00:00', 'polarity': 0.3004}]","[398, 398, 398, 398]",4
frederikeschut,"[{'post_id': 275, 'timestamp': '2022-12-29 22:08:57+00:00', 'polarity': 0.078}, {'post_id': 65, 'timestamp': '2023-04-07 06:53:24+00:00', 'polarity': -0.0294}, {'post_id': 12, 'timestamp': '2023-06-01 21:18:09+00:00', 'polarity': 0.8825}, {'post_id': 8, 'timestamp': '2023-06-05 06:33:22+00:00', 'polarity': 0.0205}]","[275, 65, 12, 8]",4
getgoldielocks,"[{'post_id': 250, 'timestamp': '2023-02-09 21:19:59+00:00', 'polarity': 0.9892}, {'post_id': 85, 'timestamp': '2023-03-23 12:04:32+00:00', 'polarity': 0.9901}, {'post_id': 36, 'timestamp': '2023-05-03 00:53:53+00:00', 'polarity': 0.9606}]","[250, 85, 36]",3
gigliotigrato777,"[{'post_id': 390, 'timestamp': '2023-05-25 08:06:35+00:00', 'polarity': 0.0313}, {'post_id': 386, 'timestamp': '2023-05-25 08:08:57+00:00', 'polarity': 0.0313}, {'post_id': 221, 'timestamp': '2023-06-05 06:22:08+00:00', 'polarity': -0.0464}]","[390, 386, 221]",3
gildaziagil,"[{'post_id': 236, 'timestamp': '2023-04-27 03:30:25+00:00', 'polarity': 0.2959}, {'post_id': 233, 'timestamp': '2023-04-27 03:32:28+00:00', 'polarity': 0.2542}, {'post_id': 233, 'timestamp': '2023-04-27 03:33:22+00:00', 'polarity': -0.0074}]","[236, 233, 233]",3
golddiamond_spa_massage,"[{'post_id': 779, 'timestamp': '2023-04-30 17:56:21+00:00', 'polarity': -0.1783}, {'post_id': 723, 'timestamp': '2023-05-13 10:14:50+00:00', 'polarity': -0.1637}, {'post_id': 698, 'timestamp': '2023-05-13 10:18:21+00:00', 'polarity': -0.1852}, {'post_id': 356, 'timestamp': '2023-05-20 18:40:37+00:00', 'polarity': -0.1823}, {'post_id': 359, 'timestamp': '2023-05-20 18:42:42+00:00', 'polarity': -0.1625}]","[779, 723, 698, 356, 359]",5
good_vibes_only_bg,"[{'post_id': 206, 'timestamp': '2023-04-28 02:48:53+00:00', 'polarity': -0.0845}, {'post_id': 299, 'timestamp': '2023-04-28 02:54:43+00:00', 'polarity': 0.2046}, {'post_id': 309, 'timestamp': '2023-04-28 02:58:03+00:00', 'polarity': 0.6273}, {'post_id': 313, 'timestamp': '2023-04-28 03:03:42+00:00', 'polarity': 0.8271}, {'post_id': 52, 'timestamp': '2023-05-23 15:56:16+00:00', 'polarity': 0.0061}]","[206, 299, 309, 313, 52]",5
gretakiss7,"[{'post_id': 515, 'timestamp': '2023-06-02 07:49:11+00:00', 'polarity': 0.1991}, {'post_id': 429, 'timestamp': '2023-06-02 13:07:52+00:00', 'polarity': 0.201}, {'post_id': 456, 'timestamp': '2023-06-04 08:02:12+00:00', 'polarity': 0.1991}, {'post_id': 562, 'timestamp': '2023-06-05 17:56:39+00:00', 'polarity': 0.1991}]","[515, 429, 456, 562]",4
grip2u,"[{'post_id': 98, 'timestamp': '2023-02-16 19:02:34+00:00', 'polarity': 0.4634}, {'post_id': 37, 'timestamp': '2023-04-17 18:43:55+00:00', 'polarity': 0.9502}, {'post_id': 31, 'timestamp': '2023-06-05 21:02:29+00:00', 'polarity': 0.6203}]","[98, 37, 31]",3
hanikhan2907,"[{'post_id': 174, 'timestamp': '2023-06-06 15:45:54+00:00', 'polarity': 0.985}, {'post_id': 224, 'timestamp': '2023-06-06 15:46:33+00:00', 'polarity': 0.9034}, {'post_id': 225, 'timestamp': '2023-06-06 15:46:52+00:00', 'polarity': 0.9358}, {'post_id': 226, 'timestamp': '2023-06-06 15:47:22+00:00', 'polarity': 0.9708}, {'post_id': 245, 'timestamp': '2023-06-06 15:48:54+00:00', 'polarity': 0.9718}]","[174, 224, 225, 226, 245]",5
hannahkidi,"[{'post_id': 182, 'timestamp': '2023-05-20 19:53:27+00:00', 'polarity': 0.9766}, {'post_id': 180, 'timestamp': '2023-05-20 19:55:34+00:00', 'polarity': 0.9538}, {'post_id': 90, 'timestamp': '2023-05-28 19:42:21+00:00', 'polarity': 0.1037}, {'post_id': 136, 'timestamp': '2023-05-28 19:44:10+00:00', 'polarity': 0.9492}]","[182, 180, 90, 136]",4
hautemona,"[{'post_id': 263, 'timestamp': '2023-04-22 13:35:22+00:00', 'polarity': 0.8779}, {'post_id': 15, 'timestamp': '2023-05-26 21:43:09+00:00', 'polarity': 0.0979}, {'post_id': 150, 'timestamp': '2023-06-03 13:04:43+00:00', 'polarity': 0.141}, {'post_id': 154, 'timestamp': '2023-06-03 13:04:52+00:00', 'polarity': 0.6549}]","[263, 15, 150, 154]",4
haydmel,"[{'post_id': 478, 'timestamp': '2023-06-07 20:54:09+00:00', 'polarity': -0.0867}, {'post_id': 478, 'timestamp': '2023-06-07 20:54:51+00:00', 'polarity': -0.0761}, {'post_id': 542, 'timestamp': '2023-06-07 21:01:00+00:00', 'polarity': 0.5571}]","[478, 478, 542]",3
hayedehsabouni,"[{'post_id': 9, 'timestamp': '2023-05-22 10:06:21+00:00', 'polarity': 0.9736}, {'post_id': 9, 'timestamp': '2023-05-22 10:09:18+00:00', 'polarity': 0.9684}, {'post_id': 138, 'timestamp': '2023-05-22 10:10:54+00:00', 'polarity': 0.5798}]","[9, 9, 138]",3
hayekmario75,"[{'post_id': 342, 'timestamp': '2023-03-24 12:32:52+00:00', 'polarity': -0.2094}, {'post_id': 342, 'timestamp': '2023-03-24 12:33:00+00:00', 'polarity': 0.4251}, {'post_id': 342, 'timestamp': '2023-03-24 12:33:07+00:00', 'polarity': 0.2551}, {'post_id': 342, 'timestamp': '2023-03-24 12:33:24+00:00', 'polarity': 0.104}]","[342, 342, 342, 342]",4
heartloveforeverinmylife,"[{'post_id': 580, 'timestamp': '2023-05-04 18:47:26+00:00', 'polarity': 0.8785}, {'post_id': 582, 'timestamp': '2023-05-04 18:49:08+00:00', 'polarity': 0.9905}, {'post_id': 581, 'timestamp': '2023-05-04 18:50:54+00:00', 'polarity': 0.9811}, {'post_id': 585, 'timestamp': '2023-05-04 18:51:18+00:00', 'polarity': 0.9893}, {'post_id': 821, 'timestamp': '2023-05-04 18:54:17+00:00', 'polarity': 0.9409}, {'post_id': 646, 'timestamp': '2023-05-04 18:56:06+00:00', 'polarity': 0.9689}, {'post_id': 683, 'timestamp': '2023-05-04 18:57:30+00:00', 'polarity': 0.983}, {'post_id': 681, 'timestamp': '2023-05-04 18:57:51+00:00', 'polarity': 0.9811}, {'post_id': 672, 'timestamp': '2023-05-31 18:32:13+00:00', 'polarity': 0.9858}]","[580, 582, 581, 585, 821, 646, 683, 681, 672]",9
hildasandstrom,"[{'post_id': 336, 'timestamp': '2022-10-08 10:21:51+00:00', 'polarity': 0.6223}, {'post_id': 201, 'timestamp': '2023-01-11 22:06:31+00:00', 'polarity': 0.7867}, {'post_id': 198, 'timestamp': '2023-01-21 16:11:23+00:00', 'polarity': 0.7867}]","[336, 201, 198]",3
hubackova.marie,"[{'post_id': 640, 'timestamp': '2023-03-11 10:53:08+00:00', 'polarity': 0.7066}, {'post_id': 571, 'timestamp': '2023-04-03 14:54:30+00:00', 'polarity': 0.7332}, {'post_id': 460, 'timestamp': '2023-04-27 17:04:03+00:00', 'polarity': 0.7332}]","[640, 571, 460]",3
i.mohsin_yousafzai,"[{'post_id': 742, 'timestamp': '2023-04-19 20:52:20+00:00', 'polarity': -0.0276}, {'post_id': 687, 'timestamp': '2023-05-03 14:53:13+00:00', 'polarity': 0.0112}, {'post_id': 523, 'timestamp': '2023-05-23 12:17:21+00:00', 'polarity': -0.0276}, {'post_id': 441, 'timestamp': '2023-05-28 12:15:04+00:00', 'polarity': 0.0803}]","[742, 687, 523, 441]",4
iamexclussif,"[{'post_id': 746, 'timestamp': '2023-04-24 23:00:56+00:00', 'polarity': 0.0457}, {'post_id': 521, 'timestamp': '2023-05-17 21:00:21+00:00', 'polarity': 0.0023}, {'post_id': 442, 'timestamp': '2023-05-25 00:42:35+00:00', 'polarity': -0.0311}, {'post_id': 441, 'timestamp': '2023-05-27 16:08:20+00:00', 'polarity': 0.223}, {'post_id': 520, 'timestamp': '2023-05-29 17:59:58+00:00', 'polarity': 0.0819}]","[746, 521, 442, 441, 520]",5
iamklemie,"[{'post_id': 699, 'timestamp': '2023-03-13 18:20:43+00:00', 'polarity': 0.2445}, {'post_id': 642, 'timestamp': '2023-03-16 18:48:56+00:00', 'polarity': 0.0803}, {'post_id': 560, 'timestamp': '2023-04-08 17:19:17+00:00', 'polarity': 0.3024}]","[699, 642, 560]",3
iammrscoscia,"[{'post_id': 317, 'timestamp': '2023-01-08 01:17:40+00:00', 'polarity': 0.8303}, {'post_id': 321, 'timestamp': '2023-01-08 01:18:02+00:00', 'polarity': 0.9682}, {'post_id': 36, 'timestamp': '2023-05-03 20:13:41+00:00', 'polarity': 0.1075}, {'post_id': 31, 'timestamp': '2023-06-05 21:45:53+00:00', 'polarity': -0.8418}]","[317, 321, 36, 31]",4
imsheilagoncalves,"[{'post_id': 379, 'timestamp': '2023-03-24 12:16:21+00:00', 'polarity': -0.0539}, {'post_id': 378, 'timestamp': '2023-03-25 12:18:48+00:00', 'polarity': 0.4554}, {'post_id': 335, 'timestamp': '2023-04-10 19:50:16+00:00', 'polarity': 0.0917}, {'post_id': 290, 'timestamp': '2023-04-25 14:23:47+00:00', 'polarity': 0.2949}, {'post_id': 229, 'timestamp': '2023-05-22 21:30:31+00:00', 'polarity': 0.0619}, {'post_id': 228, 'timestamp': '2023-05-26 23:24:37+00:00', 'polarity': 0.5884}, {'post_id': 60, 'timestamp': '2023-06-03 16:35:22+00:00', 'polarity': 0.0943}]","[379, 378, 335, 290, 229, 228, 60]",7
irena_illy_28,"[{'post_id': 595, 'timestamp': '2023-04-19 16:22:21+00:00', 'polarity': 0.5795}, {'post_id': 589, 'timestamp': '2023-04-19 16:33:55+00:00', 'polarity': 0.2019}, {'post_id': 612, 'timestamp': '2023-04-20 11:37:21+00:00', 'polarity': 0.0715}, {'post_id': 598, 'timestamp': '2023-04-20 15:43:41+00:00', 'polarity': 0.7295}, {'post_id': 617, 'timestamp': '2023-04-20 16:27:36+00:00', 'polarity': 0.0711}, {'post_id': 586, 'timestamp': '2023-04-21 10:48:48+00:00', 'polarity': 0.1033}, {'post_id': 588, 'timestamp': '2023-04-21 16:37:56+00:00', 'polarity': 0.7295}, {'post_id': 596, 'timestamp': '2023-04-21 17:59:07+00:00', 'polarity': -0.0126}]","[595, 589, 612, 598, 617, 586, 588, 596]",8
itsxemm,"[{'post_id': 324, 'timestamp': '2023-03-28 18:58:21+00:00', 'polarity': 0.7806}, {'post_id': 329, 'timestamp': '2023-03-28 18:58:46+00:00', 'polarity': 0.8815}, {'post_id': 326, 'timestamp': '2023-03-28 18:58:59+00:00', 'polarity': 0.0892}, {'post_id': 327, 'timestamp': '2023-03-28 18:59:20+00:00', 'polarity': 0.1446}, {'post_id': 330, 'timestamp': '2023-03-28 18:59:38+00:00', 'polarity': 0.5242}]","[324, 329, 326, 327, 330]",5
ivanildo.oliveira.1272010,"[{'post_id': 699, 'timestamp': '2023-03-13 12:51:14+00:00', 'polarity': 0.1958}, {'post_id': 712, 'timestamp': '2023-04-20 14:48:55+00:00', 'polarity': 0.6514}, {'post_id': 617, 'timestamp': '2023-04-20 14:52:44+00:00', 'polarity': 0.3669}]","[699, 712, 617]",3
ivonayw,"[{'post_id': 708, 'timestamp': '2022-10-26 17:40:37+00:00', 'polarity': 0.7009}, {'post_id': 710, 'timestamp': '2023-01-08 16:30:26+00:00', 'polarity': 0.5736}, {'post_id': 633, 'timestamp': '2023-02-06 13:27:20+00:00', 'polarity': 0.9638}, {'post_id': 618, 'timestamp': '2023-04-27 19:34:26+00:00', 'polarity': 0.9141}]","[708, 710, 633, 618]",4
