post_id,postUser,timestamp,likesCount,commentsCount,combined_keywords
43,carodaur,2023-05-30 09:58:36+00:00,52006,282,"['last', 'week', 'daurdump']"
44,camilacoelho,2023-05-29 18:14:32+00:00,101242,284,"['race', 'weekend', 'f1monaco', 'grew', 'like', 'f1', 'icaro', 'monacograndprix', 'cars', 'ootd']"
45,camilacoelho,2023-05-27 16:11:39+00:00,158048,744,"['cannes', 'riviera', 'golden', 'hour', 'ootd']"
46,josefinehj,2023-06-06 16:21:47+00:00,11234,47,[]
47,dolcegabbana_beauty,2023-05-08 13:00:13+00:00,12719,284,"['feeling', 'dgsummervibes', 'idyllic', 'capri', 'setting', 'dg']"
48,aimeesong,2023-05-08 19:50:46+00:00,19844,213,"['grateful', 'tiffanyandco', 'mothersday', 'tiffanypartner', 'mothers']"
49,camilacoelho,2023-05-14 18:40:24+00:00,125312,421,"['runway', 'dress', 'first', 'mother', 'day', 'mothersday', 'mom']"
50,camilacoelho,2023-05-07 16:57:17+00:00,270901,823,"['race', 'weekend', 'mood', 'ootn', 'fim', 'de', 'f1', 'miami', 'palmangels']"
51,camilacoelho,2023-05-23 22:12:43+00:00,137836,733,"['cannes', 'riviera', 'touchdown', '🇫🇷', 'look']"
52,camilacoelho,2023-05-13 19:08:25+00:00,356527,652,"['9', 'months', 'ago', 'till', 'biggest', 'mom', 'son', 'family', 'mothersday']"
53,camilacoelho,2023-05-07 23:55:16+00:00,338678,981,"['style', 'let', 'race', 'thanks', 'ferrari', 'ferraristyle', 'f1']"
54,everyday.holly,2023-06-04 22:48:49+00:00,1308,385,"['outfit', 'happy', 'sunday', 'last', 'weeks', '1', 'tts', '3', 'links', 'small']"
55,everyday.holly,2023-05-28 15:12:41+00:00,1009,255,"['outfit', 'happy', 'sunday', 'last', 'weeks', '2', '3', '5', 'links', 'tts']"
56,lojafashioncloset,2023-06-05 13:49:24+00:00,118,4,"['se', 'esfriar', 'gente', 'já', 'escolheu']"
57,josefinehj,2023-06-01 15:26:54+00:00,11328,66,"['pj', 'suede']"
58,josefinehj,2023-06-02 13:10:53+00:00,4864,25,[]
59,lojafashioncloset,2023-05-30 15:56:19+00:00,648,9,"['tá', 'nosso', 'drop', 'fshn', 'trip', 'e', 'com']"
60,lojafashioncloset,2023-06-02 15:42:27+00:00,479,7,"['fshnlook', 'w', 'nahcardoso', 'ela', 'usa', 'fshn']"
61,lojafashioncloset,2023-05-29 00:07:00+00:00,350,9,"['fashion', 'fshn', 'trip', 'é', 'nosso', 'e', 'drop']"
62,stephaniebroek,2023-04-20 18:47:30+00:00,2306,63,"['love', 'anonymous', 'anti', 'bag', 'aestherekme', 'aedit']"
63,stephaniebroek,2023-04-26 18:23:59+00:00,1135,108,"['ysl', 'wear', 'dress', 'chic', 'tuxedo', 'saint', 'laurent', 'jacket']"
64,stephaniebroek,2023-04-10 18:37:24+00:00,427,13,"['dior', 'paris', 'plan', 'de', 'diorss23']"
65,stephaniebroek,2023-04-06 18:36:35+00:00,1802,25,"['2', 'months', 'later', 'still', 'thinking']"
